Catcode	Catname	Catorder	Industry	Sector	Sector Long
B3000	Special trade contractors	C03	Special Trade Contractors	Construction	Construction
B3200	Electrical contractors	C03	Special Trade Contractors	Construction	Construction
B3400	Plumbing, heating and air conditioning	C03	Special Trade Contractors	Construction	Construction
B3600	Landscaping and Excavation Svcs	C03	Special Trade Contractors	Construction	Construction
B4000	Engineering, architecture and construction mgmt svcs	C04	Construction Services	Construction	Construction
B4200	Architectural services	C04	Construction Services	Construction	Construction
B4300	Surveying	C04	Construction Services	Construction	Construction
B4400	Engineers - type unknown	C04	Construction Services	Construction	Construction
B5000	Building materials	C05	Building Materials and Equipment	Construction	Construction
B5100	Stone, clay, glass and concrete products	C05	Building Materials and Equipment	Construction	Construction
B5200	Lumber and wood products	C05	Building Materials and Equipment	Construction	Construction
B5300	Plumbing and pipe products	C05	Building Materials and Equipment	Construction	Construction
B5400	Other construction-related products	C05	Building Materials and Equipment	Construction	Construction
B5500	Electrical Supply	C05	Building Materials and Equipment	Construction	Construction
B6000	Construction equipment	C05	Building Materials and Equipment	Construction	Construction
C0000	Communications and Electronics	B00	Misc Communications/Electronics	Communic/Electronics	Communications/Electronics
C1000	Printing and publishing (printed and online)	B01	Printing and Publishing	Communic/Electronics	Communications/Electronics
C1100	Book, newspaper and periodical publishing	B01	Printing and Publishing	Communic/Electronics	Communications/Electronics
C1300	Commercial printing and typesetting	B01	Printing and Publishing	Communic/Electronics	Communications/Electronics
C1400	Greeting card publishing	B01	Printing and Publishing	Communic/Electronics	Communications/Electronics
C2000	Entertainment Industry/Broadcast and Motion Pictures	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2100	Commercial TV and radio stations	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2200	Cable and satellite TV production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2300	TV production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2400	Motion Picture production and distribution	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2600	Recorded Music and music production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2700	Movie Theaters	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2800	Bands, orchestras and other live music production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2900	Live theater and other entertainment productions	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C4000	Telecommunications	B09	Telecom Services	Communic/Electronics	Communications/Electronics
C4100	Telephone utilities	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics
C4200	Long-distance telephone and telegraph service	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics
C4300	Cell/wireless service providers	B09	Telecom Services	Communic/Electronics	Communications/Electronics
C4400	Satellite communications	B09	Telecom Services	Communic/Electronics	Communications/Electronics
C4500	Cable distributors and service providers	B09	Telecom Services	Communic/Electronics	Communications/Electronics
C4600	Other Communications Services	B09	Telecom Services	Communic/Electronics	Communications/Electronics
C5000	Electronics manufacturing and services	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5100	Computer manufacture and services	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5110	Computer components and accessories	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5120	Computer software	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5130	Data processing and computer services	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5200	Telecommunications Devices	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5300	Other Communication Electronics	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C5400	Industrial Electronics	B12	Electronics Mfg and Equip	Communic/Electronics	Communications/Electronics
C6000	Internet and Online Services	B13	Internet	Communic/Electronics	Communications/Electronics
C6100	Online Entertainment	B13	Internet	Communic/Electronics	Communications/Electronics
C6200	Social Media	B13	Internet	Communic/Electronics	Communications/Electronics
C6300	Search Engine/Email Services	B13	Internet	Communic/Electronics	Communications/Electronics
C6400	Vendors	B13	Internet	Communic/Electronics	Communications/Electronics
C6500	Hosting/Cloud Services	B13	Internet	Communic/Electronics	Communications/Electronics
D0000	Defense	D03	Misc Defense	Defense	Defense
D2000	Defense aerospace contractors	D01	Defense Aerospace	Defense	Defense
D3000	Defense electronic contractors	D02	Defense Electronics	Defense	Defense
D4000	Defense Research and Development	D03	Misc Defense	Defense	Defense
D5000	Defense shipbuilders	D03	Misc Defense	Defense	Defense
D6000	Homeland Security contractors	D03	Misc Defense	Defense	Defense
D8000	Ground-based and other weapons systems	D03	Misc Defense	Defense	Defense
D9000	Defense-related services	D03	Misc Defense	Defense	Defense
E0000	Energy, Natural Resources and Environment	E07	Misc Energy	Energy/Nat Resource	Energy and Natural Resources
E1000	Energy production and distribution	E07	Misc Energy	Energy/Nat Resource	Energy and Natural Resources
E1100	Oil and Gas	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1110	Major (multinational) oil and gas producers	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1120	Independent oil and gas producers	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1140	Natural Gas transmission and distribution	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1150	Oilfield service, equipment and exploration	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1160	Petroleum refining and marketing	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1170	Gasoline service stations	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1180	Fuel oil dealers	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1190	LPG/Liquid Propane dealers and producers	E01	Oil and Gas	Energy/Nat Resource	Energy and Natural Resources
E1200	Mining	E04	Mining	Energy/Nat Resource	Energy and Natural Resources
E1210	Coal mining	E04	Mining	Energy/Nat Resource	Energy and Natural Resources
E1220	Metal mining and processing	E04	Mining	Energy/Nat Resource	Energy and Natural Resources
E1230	Non-metallic mining	E04	Mining	Energy/Nat Resource	Energy and Natural Resources
E1240	Mining services and equipment	E04	Mining	Energy/Nat Resource	Energy and Natural Resources
E1300	Nuclear energy	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1320	Nuclear plant construction, equipment and svcs	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1500	Alternate energy production and services	E07	Misc Energy	Energy/Nat Resource	Energy and Natural Resources
E1600	Electric Power utilities	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1610	Rural electric cooperatives	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1620	Gas and Electric Utilities	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1630	Independent power generation and cogeneration	E08	Electric Utilities	Energy/Nat Resource	Energy and Natural Resources
E1700	Power plant construction and equipment	E07	Misc Energy	Energy/Nat Resource	Energy and Natural Resources
E2000	Environmental services, equipment and consulting	E09	Environmental Svcs/Equipment	Energy/Nat Resource	Energy and Natural Resources
E3000	Waste management	E10	Waste Management	Energy/Nat Resource	Energy and Natural Resources
E4000	Fisheries and wildlife	E11	Fisheries and Wildlife	Energy/Nat Resource	Energy and Natural Resources
E4100	Fishing	E11	Fisheries and Wildlife	Energy/Nat Resource	Energy and Natural Resources
E4200	Hunting and wildlife	E11	Fisheries and Wildlife	Energy/Nat Resource	Energy and Natural Resources
E5000	Water Utilities	E07	Misc Energy	Energy/Nat Resource	Energy and Natural Resources
F0000	Finance, Insurance and Real Estate	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1000	Banks and lending institutions	F03	Commercial Banks	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1100	Commercial banks and bank holding companies	F03	Commercial Banks	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1200	Savings banks and Savings and Loans	F04	Savings and Loans	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1300	Credit unions	F05	Credit Unions	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1400	Credit agencies and finance companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1410	Student loan companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F1420	Payday lenders	F06	Finance/Credit Companies	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2000	Securities, commodities and investment	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2100	Security brokers and investment companies	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2110	Discount and Online Brokers	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2200	Commodity brokers/dealers	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2300	Investment banking	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2400	Stock exchanges	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2500	Venture capital	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2600	Private Equity and Investment Firms	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F2700	Hedge Funds	F07	Securities and Investment	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F3000	Insurance	F09	Insurance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F3100	Insurance companies, brokers and agents	F09	Insurance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F3200	Accident and health insurance	F09	Insurance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F3300	Life insurance	F09	Insurance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F3400	Property and casualty insurance	F09	Insurance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4000	Real estate	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4100	Real Estate developers and subdividers	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4200	Real estate agents	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4300	Title insurance and title abstract offices	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4400	Mobile home dealers and parks	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4500	Building operators and managers	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4600	Mortgage bankers and brokers	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F4700	Other real estate services	F10	Real Estate	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F5000	Financial services and consulting	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F5100	Accountants	F11	Accountants	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F5200	Credit reporting services and collection agencies	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F5300	Tax return services	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F5500	Other financial services	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
F7000	Investors	F13	Misc Finance	Finance/Insur/RealEst	Finance, Insurance and Real Estate
G0000	General commerce	N12	Misc Business	Misc Business	Misc Business
G1000	General business associations	N00	Business Associations	Misc Business	Misc Business
G1100	Chambers of commerce	N00	Business Associations	Misc Business	Misc Business
G1200	Small business associations	N00	Business Associations	Misc Business	Misc Business
G1300	Pro-business associations	N00	Business Associations	Misc Business	Misc Business
G1310	Business tax coalitions	N00	Business Associations	Misc Business	Misc Business
G1400	International trade associations	N00	Business Associations	Misc Business	Misc Business
G2000	Food and Beverage Products and Services	A09	Food Processing and Sales	Agribusiness	Agribusiness
G2100	Food and kindred products manufacturing	A09	Food Processing and Sales	Agribusiness	Agribusiness
G2110	Artificial sweeteners and food additives	N01	Food and Beverage	Misc Business	Misc Business
G2200	Confectionery processors and manufacturers	N01	Food and Beverage	Misc Business	Misc Business
G2300	Meat processing and products	A09	Food Processing and Sales	Agribusiness	Agribusiness
G2350	Fish Processing	N01	Food and Beverage	Misc Business	Misc Business
G2400	Food stores	A09	Food Processing and Sales	Agribusiness	Agribusiness
G2500	Food wholesalers	A09	Food Processing and Sales	Agribusiness	Agribusiness
G2600	Beverages (non-alcoholic)	N01	Food and Beverage	Misc Business	Misc Business
G2700	Beverage bottling and distribution	N01	Food and Beverage	Misc Business	Misc Business
G2800	Alcohol	N02	Beer, Wine and Liquor	Misc Business	Misc Business
G2810	Beer	N02	Beer, Wine and Liquor	Misc Business	Misc Business
G2820	Wine and distilled spirits manufacturing	N02	Beer, Wine and Liquor	Misc Business	Misc Business
G2840	Liquor stores	N02	Beer, Wine and Liquor	Misc Business	Misc Business
G2850	Liquor wholesalers	N02	Beer, Wine and Liquor	Misc Business	Misc Business
G2860	Marijuana Production, Sales and Paraphernalia	N09	Marijuana	Misc Business	Misc Business
G2900	Restaurants and drinking establishments	N01	Food and Beverage	Misc Business	Misc Business
G2910	Food catering and food services	N01	Food and Beverage	Misc Business	Misc Business
G3000	Wholesale trade	N12	Misc Business	Misc Business	Misc Business
G3500	Import/Export services	N12	Misc Business	Misc Business	Misc Business
G4000	Retail trade	N03	Retail Sales	Misc Business	Misc Business
G4100	Apparel and accessory stores	N03	Retail Sales	Misc Business	Misc Business
G4200	Consumer electronics and computer stores	N03	Retail Sales	Misc Business	Misc Business
G4300	Department, variety and convenience stores	N03	Retail Sales	Misc Business	Misc Business
G4400	Furniture and appliance stores	N03	Retail Sales	Misc Business	Misc Business
G4500	Hardware and building materials stores	N03	Retail Sales	Misc Business	Misc Business
G4600	Miscellaneous retail stores	N03	Retail Sales	Misc Business	Misc Business
G4700	Catalog and mail order houses	N03	Retail Sales	Misc Business	Misc Business
G4800	Direct sales	N03	Retail Sales	Misc Business	Misc Business
G4850	Vending Machine Sales and Services	N03	Retail Sales	Misc Business	Misc Business
G4900	Drug stores	N03	Retail Sales	Misc Business	Misc Business
G5000	Services	N04	Misc Services	Misc Business	Misc Business
G5100	Beauty and barber shops	N04	Misc Services	Misc Business	Misc Business
G5200	Business services	N05	Business Services	Misc Business	Misc Business
G5210	Advertising and public relations services	N05	Business Services	Misc Business	Misc Business
G5220	Direct mail advertising services	N05	Business Services	Misc Business	Misc Business
G5230	Outdoor advertising services	N05	Business Services	Misc Business	Misc Business
G5240	Commercial photography, art and graphic design	N05	Business Services	Misc Business	Misc Business
G5250	Employment agencies	N05	Business Services	Misc Business	Misc Business
G5260	Political consultants/advisers	N05	Business Services	Misc Business	Misc Business
G5270	Management consultants and services	N05	Business Services	Misc Business	Misc Business
G5280	Marketing research services	N05	Business Services	Misc Business	Misc Business
G5290	Security services	N05	Business Services	Misc Business	Misc Business
G5300	Equipment rental and leasing	N04	Misc Services	Misc Business	Misc Business
G5400	Funeral services	N04	Misc Services	Misc Business	Misc Business
G5500	Laundries and dry cleaners	N04	Misc Services	Misc Business	Misc Business
G5600	Miscellaneous repair services	N04	Misc Services	Misc Business	Misc Business
G5700	Pest control	N04	Misc Services	Misc Business	Misc Business
G5800	Physical fitness centers	N04	Misc Services	Misc Business	Misc Business
G6000	Recreation/Entertainment	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6100	Amusement/recreation centers	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6400	Professional sports, arenas and related equip and svcs	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6500	Casinos, racetracks and gambling	N07	Casinos/Gambling	Misc Business	Misc Business
G6550	Indian Gaming	N07	Casinos/Gambling	Misc Business	Misc Business
G6700	Amusement parks	N06	Recreation/Live Entertainment	Misc Business	Misc Business
G6800	Video rental	N04	Misc Services	Misc Business	Misc Business
G7000	Correctional facilities constr and mgmt/for-profit	N12	Misc Business	Misc Business	Misc Business
H0000	Health, Education and Human Resources	H05	Misc Health	Health	Health
H1000	Health professionals	H01	Health Professionals	Health	Health
H1100	Physicians	H01	Health Professionals	Health	Health
H1110	Psychiatrists and psychologists	H01	Health Professionals	Health	Health
H1120	Optometrists and Ophthalmologists	H01	Health Professionals	Health	Health
H1130	Other physician specialists	H01	Health Professionals	Health	Health
H1400	Dentists	H01	Health Professionals	Health	Health
H1500	Chiropractors	H01	Health Professionals	Health	Health
H1700	Other non-physician health practitioners	H01	Health Professionals	Health	Health
H1710	Nurses	H01	Health Professionals	Health	Health
H1750	Pharmacists	H01	Health Professionals	Health	Health
H2000	Health care institutions	H02	Hospitals/Nursing Homes	Health	Health
H2100	Hospitals	H02	Hospitals/Nursing Homes	Health	Health
H2200	Nursing homes	H02	Hospitals/Nursing Homes	Health	Health
H2300	Drug and alcohol treatment hospitals	H02	Hospitals/Nursing Homes	Health	Health
H3000	Health care services	H03	Health Services/HMOs	Health	Health
H3100	Home care services	H03	Health Services/HMOs	Health	Health
H3200	Outpatient health services (incl drug and alcohol)	H03	Health Services/HMOs	Health	Health
H3300	Optical services (glasses and contact lenses)	H03	Health Services/HMOs	Health	Health
H3400	Medical laboratories	H03	Health Services/HMOs	Health	Health
H3500	AIDS treatment and testing	H03	Health Services/HMOs	Health	Health
H3700	HMOs	H03	Health Services/HMOs	Health	Health
H3800	Mental Health Services	H03	Health Services/HMOs	Health	Health
H3900	Health care Consultants	H03	Health Services/HMOs	Health	Health
H4000	Health care products	H04	Pharmaceuticals/Health Products	Health	Health
H4100	Medical Devices and Supplies	H04	Pharmaceuticals/Health Products	Health	Health
H4200	Personal health care products	H04	Pharmaceuticals/Health Products	Health	Health
H4300	Pharmaceutical manufacturing	H04	Pharmaceuticals/Health Products	Health	Health
H4400	Pharmaceutical wholesale	H04	Pharmaceuticals/Health Products	Health	Health
H4500	Biotech products and research	H04	Pharmaceuticals/Health Products	Health	Health
H4600	Nutritional and dietary supplements	H04	Pharmaceuticals/Health Products	Health	Health
H4700	Pharmaceutical cannabis	H04	Pharmaceuticals/Health Products	Health	Health
H5000	Education	W04	Education	Other	Other
H5100	Schools and colleges	W04	Education	Other	Other
H5150	Medical schools	W04	Education	Other	Other
H5170	Law schools	W04	Education	Other	Other
H5200	Technical, business and vocational schools and svcs	W04	Education	Other	Other
H5300	For-profit Education	W04	Education	Other	Other
H6000	Welfare and Social Work	W07	Other	Other	Other
J0000	Ideological and Single Issue PACs	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J1000	General Ideological	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J1100	Republican/Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue
J1110	Christian Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue
J1200	Democratic/Liberal	Q02	Democratic/Liberal	Ideology/Single-Issue	Ideological/Single-Issue
J1300	Third-party committees	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J2000	Leadership committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2100	Democratic leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2200	Republican leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2300	Democratic officials, candidates and former members	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2400	Republican officials, candidates and former members	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2500	Non-Federal candidate committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J3000	Consumer groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J4000	Fiscal and tax policy	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J5000	Foreign policy	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J5100	Pro-Israel	Q05	Pro-Israel	Ideology/Single-Issue	Ideological/Single-Issue
J5200	Anti-Castro	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J5300	Puerto Rico statehood policy	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J5400	Pro-Arab	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J6100	Anti-Guns	Q12	Gun Control	Ideology/Single-Issue	Ideological/Single-Issue
J6200	Pro-Guns	Q13	Gun Rights	Ideology/Single-Issue	Ideological/Single-Issue
J6500	Militias and Anti-Government Groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7000	Human Rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7120	Abortion policy/Anti-Abortion	Q14	Abortion Policy/Anti-Abortion	Ideology/Single-Issue	Ideological/Single-Issue
J7150	Abortion policy/Pro-Abortion Rights	Q15	Abortion Policy/Pro-Abortion Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7200	Elderly issues/Social Security	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7210	Legalization of Doctor-Assisted Suicide	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7300	Gay and lesbian rights and issues	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7400	Women's issues	Q08	Women's Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7500	Minority/Ethnic Groups	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7510	Native American Tribes	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7600	Animal Rights	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7700	Children's rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J8000	Labor, anti-union	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J9000	Other single-issue or ideological groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J9100	Term limits	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
JD100	Defense policy, hawks	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
JD200	Defense policy, doves	Q04	Foreign and Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
JE300	Environmental policy	Q11	Environment	Ideology/Single-Issue	Ideological/Single-Issue
JH100	Health and welfare policy	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
JW100	Pro-resource development groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
K0000	Legal Services	K01	Lawyers/Law Firms	Lawyers and Lobbyists	Lawyers and Lobbyists
K1000	Attorneys and law firms	K01	Lawyers/Law Firms	Lawyers and Lobbyists	Lawyers and Lobbyists
K1100	Trial lawyers and law firms	K01	Lawyers/Law Firms	Lawyers and Lobbyists	Lawyers and Lobbyists
K1200	Corporate lawyers and law firms	K01	Lawyers/Law Firms	Lawyers and Lobbyists	Lawyers and Lobbyists
K2000	Lobbyists and Public Relations	K02	Lobbyists	Lawyers and Lobbyists	Lawyers and Lobbyists
K2100	Registered Foreign Agents	K02	Lobbyists	Lawyers and Lobbyists	Lawyers and Lobbyists
L0000	Labor Unions	P05	Misc Unions	Labor	Labor
L1000	Civil service and government unions	P04	Public Sector Unions	Labor	Labor
L1100	Federal employees unions	P04	Public Sector Unions	Labor	Labor
L1200	State and local govt employee unions	P04	Public Sector Unions	Labor	Labor
L1300	Teachers unions	P04	Public Sector Unions	Labor	Labor
L1400	Police and firefighters unions and associations	P04	Public Sector Unions	Labor	Labor
L1500	US Postal Service unions and associations	P04	Public Sector Unions	Labor	Labor
L5000	Other unions	P05	Misc Unions	Labor	Labor
LA100	Agricultural labor unions	P05	Misc Unions	Labor	Labor
LB100	Building trades unions	P01	Building Trade Unions	Labor	Labor
LC100	Communications and hi-tech unions	P02	Industrial Unions	Labor	Labor
LC150	IBEW (Intl Brotherhood of Electrical Workers)	P02	Industrial Unions	Labor	Labor
LD100	Defense-related unions	P05	Misc Unions	Labor	Labor
LE100	Mining unions	P02	Industrial Unions	Labor	Labor
LE200	Energy-related unions (non-mining)	P02	Industrial Unions	Labor	Labor
LG000	General commercial unions	P05	Misc Unions	Labor	Labor
LG100	Food service and related unions	P05	Misc Unions	Labor	Labor
LG200	Retail trade unions	P05	Misc Unions	Labor	Labor
LG300	Commercial service unions	P05	Misc Unions	Labor	Labor
LG400	Entertainment unions	P05	Misc Unions	Labor	Labor
LG500	Other commercial unions	P05	Misc Unions	Labor	Labor
LH100	Health worker unions	P05	Misc Unions	Labor	Labor
LM100	Manufacturing unions	P02	Industrial Unions	Labor	Labor
LM150	Automotive Manufacturing union	P02	Industrial Unions	Labor	Labor
LT000	Transportation unions	P03	Transportation Unions	Labor	Labor
LT100	Air transport unions	P03	Transportation Unions	Labor	Labor
LT300	Teamsters union	P03	Transportation Unions	Labor	Labor
LT400	Railroad unions	P03	Transportation Unions	Labor	Labor
LT500	Merchant marine and longshoremen unions	P03	Transportation Unions	Labor	Labor
LT600	Other transportation unions	P03	Transportation Unions	Labor	Labor
M0000	Manufacturing	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M1000	Chemicals	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
M1100	Explosives	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
M1300	Household cleansers and chemicals	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
